video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
o_-mL6fojOU,Soy el Barone #Shorts,¡Impresionante! Encontré la varita de Harry Potter que escupe fuego,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DFiZZT9","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-02T14:00:25Z,56786,6840,,28,PT49S,hd,false
Q5vzQpKPT5I,Soy el Barone #Shorts,Compré el nuevo dron 4k de China que quiere pelear con DJI,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DduQhKX","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-01T18:00:11Z,229700,27524,,134,PT54S,hd,false
MVngNvDQE5U,Soy el Barone #Shorts,Ahora nunca más fallaré en el retrete,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DkrLQHV","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-01T14:00:12Z,127594,12118,,114,PT46S,hd,false
Y6ZcpkHcZwA,Soy el Barone #Shorts,Este panel LED funciona sin gastar 1 centavo de electricidad,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DDjPQAf","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-31T18:00:12Z,166021,21023,,125,PT58S,hd,false
mkH3Dd5u3H4,Soy el Barone #Shorts,"Este pendrive tiene más de 10,000 juegos de playstation 😵",#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-31T14:00:37Z,907095,106970,,927,PT58S,hd,false
zqTZXj7V5Yk,Soy el Barone #Shorts,Probando la chaqueta con calefacción eléctrica,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_9uNO7P","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-30T18:00:20Z,301369,38107,,187,PT57S,hd,false
ol7WAymTT3c,Soy el Barone #Shorts,Probando la hidrolavadora portátil de China,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-30T14:00:38Z,286649,27732,,131,PT55S,hd,false
4wcELknR0ls,Soy el Barone #Shorts,Esta pajilla convierte cualquier agua sucia en potable,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-29T18:00:01Z,865257,109152,,786,PT53S,hd,false
I-TSy-4ep9w,Soy el Barone #Shorts,Probé el famoso globo bolas de buey,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_9yTQFn","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-29T14:00:12Z,749310,92449,,205,PT56S,hd,false
rG1pUgRu6hE,Soy el Barone #Shorts,Probé una réplica perfecta del Boombox JBL y el resultado,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DDULUur","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-28T18:00:20Z,1561959,133788,,553,PT57S,hd,false
bimZuDS5-jM,Soy el Barone #Shorts,Este impermeabilizante chino dejó atrás a los estadounidenses,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DeeENZl","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-28T14:00:25Z,293870,32399,,76,PT58S,hd,false
D6RZheyL-G4,Soy el Barone #Shorts,Esta sierra diamantada puede perforar vidrio sin romperlo,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-27T18:00:06Z,1092637,106009,,284,PT59S,hd,false
mnGS6Mhp26c,Soy el Barone #Shorts,EL SANDWICH MÁS CREATIVO Y SABROSO QUE HE VISTO,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-27T14:00:39Z,208491,24564,,116,PT49S,hd,false
cydgBP1P-Q0,Soy el Barone #Shorts,NO PUEDO CREER QUE HIZO ESTO EN LA LAVADORA,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-26T18:00:16Z,493465,46771,,612,PT58S,hd,false
WIDMLGfT2aU,Soy el Barone #Shorts,LAS TIENDAS DE AUTOS NO QUIEREN QUE SEPAS DE ESTO,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-26T14:00:20Z,3697270,98146,,889,PT47S,hd,false
w5Ap3-5WAp4,Soy el Barone #Shorts,ESTE TRUCO PARA ABRIR BOTELLAS ES INCREÍBLE,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-07-25T18:00:18Z,1715074,73895,,535,PT50S,hd,false
